OBJECTID,GEOMETRY_START_DATE,GEOMETRY_END_DATE,STAT_AREA,STAT_AREA_NAME,FISHERY_GROUP_CODE,GIS_SERIES_NAME,GIS_SERIES_CODE,REGION_CODE,REGISTRATION_AREA_NAME,REGISTRATION_AREA_CODE,REGISTRATION_AREA_ID,REGISTRATION_LOCATION_ABBR,MANAGEMENT_AREA_NAME,MANAGEMENT_AREA_CODE,DISTRICT_NAME,DISTRICT_CODE,DISTRICT_ID,SUBDISTRICT_NAME,SUBDISTRICT_CODE,SUBDISTRICT_ID,SECTION_NAME,SECTION_CODE,SECTION_ID,SUBSECTION_NAME,SUBSECTION_CODE,SUBSECTION_ID,COAR_AREA_CODE,CREATOR,CREATE_DATE,EDITOR,EDIT_DATE,COMMENTS,STAT_AREA_VERSION_ID,Shape__Area,Shape__Length
16,1/1/1994 12:00:00 AM,,33447,Anvik River,B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 4,Y-4,,Subdistrict 4-A,4-A,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/17/2017 12:00:00 AM,,,0.0147675514999719,0.678870239491113
17,1/1/1994 12:00:00 AM,,33444,Old Paradise Village to Anvik River,B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 4,Y-4,,Subdistrict 4-A,4-A,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/17/2017 12:00:00 AM,,,0.0955318975866248,1.47004417417527
18,1/1/1965 12:00:00 AM,,33413,Sunshine Bay,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 1 Subdistrict until 1/1/1980,,0.0677084455965087,1.82298570950491
19,1/1/1963 12:00:00 AM,,33421,Anuk River to below Mt Village,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 2,Y-2,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 2 Subdistrict until 1/1/1980,,0.10437947878836,1.35601083513032
22,1/1/1965 12:00:00 AM,,33417,Fish Village,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 1 Subdistrict until 1/1/1980,,0.135624612168613,1.49152418864347
23,1/1/1965 12:00:00 AM,,33418,Below Anuk River,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 1 Subdistrict until 1/1/1980,,0.0719909452000138,1.18195214088417
24,1/1/1963 12:00:00 AM,,33424,"Atchuelinguk River to Owl Slough
",B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 2,Y-2,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 2 Subdistrict until 1/1/1980,,0.188562147886842,2.0864318955903
25,1/1/1978 12:00:00 AM,,33425,Owl Slough to Totlik,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 2,Y-2,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 2 Subdistrict until 1/1/1980,,0.157808154179293,1.81884477077715
26,1/1/2017 12:00:00 AM,,33419,"Apoon Pass to Point Romanof
",B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,<Null>,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.0321573464634639,1.23765755323697
27,1/1/2017 12:00:00 AM,,33411,Black River,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 1,Y-1,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.230525675914578,3.61882000990993
